,Price,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Balcony,State of the property,Furnished,Surface of living-room,Number of showers,Number of facades,Surface terrace,Security door,Access for disabled,Surface garden,Garage,Brussels,Walloon Brabant,Flemish Brabant,Antwerp,Limburg,Liege,Namur,Hainaut,Luxembourg,West Flanders,East Flanders,Type property
109,225000,71,1,1,1,0,0,0,25,1,2,10,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
110,420000,98,2,1,2,0,3,0,29,1,4,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,255000,80,1,1,1,0,1,0,24,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,499000,140,2,1,2,0,1,0,42,1,2,8,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0
113,249000,90,1,1,1,0,1,0,27,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
114,315000,86,2,1,1,0,1,0,26,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,595000,160,1,2,2,0,1,0,58,1,3,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,340000,160,1,1,2,0,1,0,47,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
117,338000,152,2,1,1,0,1,0,45,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,535000,168,2,1,2,0,1,0,50,1,3,19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
119,480000,170,1,1,1,0,3,0,65,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,620000,146,2,3,2,0,2,0,41,2,2,0,1,1,65,0,1,0,0,0,0,0,0,0,0,0,0,0
121,695000,250,2,1,1,0,1,0,74,1,2,20,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1
122,1150000,240,1,4,4,0,1,0,71,1,2,0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,1
123,775000,200,2,1,4,0,1,0,59,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
124,520000,120,1,1,1,0,1,0,36,1,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
125,895000,225,1,4,4,0,1,1,66,4,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
126,2250000,550,1,6,6,0,1,0,86,1,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
127,180000,42,2,1,1,0,1,0,32,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,199000,37,2,1,1,0,2,0,32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,450000,101,2,1,1,0,2,0,30,1,2,25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,525000,114,1,1,2,0,3,0,34,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,695000,180,1,1,2,0,1,0,70,1,2,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132,450000,67,2,1,1,0,3,1,20,1,2,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,305000,62,2,1,1,0,1,0,19,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,1600000,220,1,2,2,0,3,0,65,2,2,36,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
135,575000,169,1,1,3,0,3,0,40,2,3,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,575000,169,1,3,3,0,3,0,50,3,3,87,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,1600000,217,1,2,2,0,3,0,64,2,2,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
138,415000,97,2,2,2,0,3,0,34,1,2,60,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
139,420000,100,2,1,1,0,1,0,64,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,1290000,200,2,2,2,0,1,0,56,1,3,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141,1950000,226,1,2,4,0,3,0,45,1,2,66,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
142,229000,75,2,1,1,0,2,0,25,1,2,0,1,0,1000,1,1,0,0,0,0,0,0,0,0,0,0,0
143,285000,168,1,3,1,0,0,0,50,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
144,325000,100,2,1,2,0,1,0,30,1,2,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0
145,590000,130,1,1,1,0,2,0,39,1,2,8,1,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0
146,379000,80,2,1,1,0,1,0,25,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,760000,205,1,1,1,0,1,0,50,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
148,760000,197,2,2,3,0,2,0,60,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
149,434000,153,1,2,1,0,3,0,45,1,2,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,429000,147,1,2,1,0,3,0,44,1,2,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
151,414000,145,1,2,1,0,3,0,43,1,2,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,480000,158,2,1,1,0,2,0,45,1,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,349000,85,2,1,1,0,2,0,25,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
154,269000,80,1,1,1,0,1,0,24,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,765000,197,1,2,3,0,2,0,62,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
156,685000,160,1,2,2,0,1,0,60,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,990000,215,2,2,3,0,3,0,100,1,2,25,1,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0
158,815000,210,1,1,3,0,0,0,80,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159,420000,98,1,1,1,0,1,0,29,1,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,420000,88,1,1,1,0,1,0,26,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,385000,65,2,1,1,0,1,0,20,1,2,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,345000,106,1,1,1,0,1,0,32,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,365000,112,0,1,1,0,1,0,33,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,365000,73,2,1,1,0,3,0,35,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,499000,110,1,1,1,0,1,0,33,2,2,20,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0
166,399000,130,0,1,1,0,1,0,39,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,690000,170,1,1,3,0,3,0,50,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,345000,115,1,1,1,0,1,0,34,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
169,330000,160,1,3,3,0,1,0,35,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
170,469000,220,1,1,1,0,1,0,30,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
171,380000,140,1,2,2,0,2,0,30,2,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
172,569000,123,1,1,2,0,1,0,30,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
173,370000,200,2,2,1,0,1,0,40,1,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
174,380000,225,2,1,1,0,0,0,30,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
175,389000,160,1,1,1,0,0,0,47,1,2,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,1
176,695000,180,2,2,2,0,1,0,45,1,2,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,1
177,850000,283,2,2,3,0,1,0,32,2,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
178,500000,200,2,2,1,0,1,0,18,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
